epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5472,1.77427,8.85158,0.00341,0.00013,0.02247,0.00395,0.00308,1.47419,10.3927,0.00331,8.335e-05,8.335e-05,8.335e-05
2,71.8179,1.75719,8.37929,0.00301,0.00029,0.06742,0.00512,0.00095,1.48596,10.3151,0.00334,0.00018337,0.00018337,0.00018337
3,106.612,1.60955,8.93862,0.00293,0.00022,0.05618,0.01211,0.00165,1.51712,10.2904,0.00338,0.000283387,0.000283387,0.000283387
4,141.921,1.5845,6.79317,0.00272,0.00026,0.04876,0.00525,0.00096,1.36459,9.97385,0.00297,0.000383402,0.000383402,0.000383402
5,176.938,1.70656,7.722,0.0029,9e-05,0.02247,0.00239,0.00073,1.36394,9.84749,0.00296,0.000483411,0.000483411,0.000483411
6,212.328,1.51849,5.48809,0.00291,5e-05,0.01124,4e-05,0,1.31624,9.73699,0.00284,0.000583414,0.000583414,0.000583414
7,262.618,1.46839,6.43893,0.0026,0,0,0,0,1.32325,9.57661,0.00294,0.00068341,0.00068341,0.00068341
8,328.485,1.64472,5.46791,0.00283,0.00039,0.06604,0.00046,0.00034,1.24408,9.3789,0.00275,0.000783396,0.000783396,0.000783396
9,393.493,1.52238,5.48766,0.00286,0.00245,0.42389,0.01207,0.00764,1.2374,9.03317,0.00273,0.000883372,0.000883372,0.000883372
10,440.924,1.37595,4.6966,0.00222,0.00319,0.57081,0.01428,0.00743,1.28646,9.03498,0.00284,0.000983335,0.000983335,0.000983335
11,475.383,1.51466,4.44388,0.0027,0.00464,0.83305,0.28696,0.16,1.23824,8.62556,0.00272,0.00108329,0.00108329,0.00108329
12,511.733,1.43228,4.75571,0.00283,0.00517,0.86835,0.41905,0.23363,1.45207,8.51647,0.00315,0.00118322,0.00118322,0.00118322
13,549.52,1.57428,4.15748,0.00293,0.00618,0.94541,0.7096,0.42891,1.2602,7.84837,0.00285,0.00128314,0.00128314,0.00128314
